OCCUPATION,FREQUENCY
washer ,1572
days work ,528
null,462
ironing ,446
dom duties ,202
dressmaker ,167
cook ,126
service ,116
sempstress ,82
not able ,74
house work ,66
wash ,66
domestic duties ,45
house cleaning ,42
washer when able ,39
rag & bone,37
sewing ,32
shop keeper ,28
seamstress ,26
unemployed ,26
whitewasher ,25
keeps the house ,23
cuts carpet rags ,22
cuts rags ,22
shirt maker ,21
days work when able ,20
tailoress ,18
days work when can get it ,17
mantua maker ,17
plain sewing ,17
whitewashing ,17
cooking ,16
various ,16
washer when can get it ,16
washing days work ,16
general work ,15
huckster,15
assists husband ,14
washing etc ,14
weakly ,14
washer cant tell ,13
nurse ,12
washer very little ,12
at home ,11
days work irregular ,11
milliner ,10
not able to work ,10
school teacher ,10
washing & c ,10
days work very little ,8
at service ,7
house cleaner ,7
pastry cook ,7
w washer ,7
cake baker ,6
eating house ,6
general house work ,6
house keeper ,6
quilter ,6
rag picker ,6
wants work ,6
carpet rags ,5
house work at home ,5
keeps house ,5
sempstresses ,5
shirt ,5
shirtm ,5
wants washing ,5
washer & whitewashing,5
washer irregular ,5
washing and ironing ,5
days work etc ,4
house cleans ,4
makes door mats ,4
past work ,4
washer & whitewasher,4
washer dont know ,4
assists at home ,3
boarder ,3
confectioner ,3
cooks ,3
cuts rags days work ,3
days work cant tell ,3
days work very dull ,3
dress m ,3
keeps shop ,3
makes mats ,3
nurse children ,3
out ,3
probably idle ,3
rag sorter ,3
sells pepper pot ,3
shirt m ,3
unemployed house work at home ,3
works at home ,3
assist father ,2
at home wants work ,2
at house of industry ,2
chambermaid ,2
cook when able ,2
cooking etc ,2
days work,2
does nothing ,2
dress ,2
dressm very little ,2
dressmaker when able ,2
hair dresser ,2
house cleaning washing ,2
in rag store ,2
keeps big house ,2
keeps cake shop ,2
layer out of dead ,2
out to work ,2
probably nothing ,2
rag gatherer ,2
rags ,2
service commonly ,2
sewing etc ,2
shop ,2
sick ,2
sorts rags,2
stewardess ,2
teacher ,2
wants work washing ,2
washer but little ,2
washer doesnt keep count ,2
washer sometimes ,2
washing ironing ,2
washing regularly ,2
washing wanted ,2
wife wants work ,2
work wanted ,2
works in oyster cellar ,2
young child husband left ,2
afflicted rheumatism ,1
assignation house ,1
assist at the house ,1
assist harding ,1
assist in oyster house ,1
assorter of rags ,1
astrologer ,1
at days work irregular ,1
at home is weakly ,1
at home weakly ,1
at present ,1
at service sometimes ,1
attend shop provisions ,1
baker ,1
bar in theatre ,1
barber ,1
boarding house ,1
bonnetmaker ,1
boot fitter ,1
cake seller ,1
cake shop keeper ,1
candy maker ,1
care takes school room ,1
carpet rags ball to sell ,1
carpet rags balls ,1
childs nurse ,1
cleaning ,1
confectioner dom duties ,1
cook and confectioner ,1
cook been home ,1
cook house and dance house ,1
cook unemployed ,1
cook when able to go ,1
cooking both at home now ,1
cooking pen ,1
cool ,1
coroners assistant ,1
cuts ,1
cuts rags weakly ,1
day work rag & bone picker,1
days work almost nothing ,1
days work average ,1
days work been sick ,1
days work but little ,1
days work considerable in summer ,1
days work cooking etc ,1
days work in spring & fall,1
days work not much ,1
days work occasionally ,1
days work scarcely any ,1
days work sempstree irregular ,1
days work sewing ,1
days work slack time now ,1
days work so irregular assist ,1
days work sometimes ,1
dealer ,1
dealer dom duties ,1
dealer in clothes ,1
deals in vegtables ,1
dom work ,1
door mat maker ,1
doubtful ,1
dress m millinery dont know ,1
dress maker ,1
dress making one a cook ,1
dress shirt maker,1
dressm,1
dressm fortune teller ,1
dressm iregular ,1
dressm nothing to do ,1
dressmaker & tailoress,1
dressmakers very little ,1
drives sweep ,1
eating & c house ,1
eating house cant tell ,1
embroider ,1
farm work ,1
females want washing ,1
funeral furnishes ,1
furniture shop ,1
hair dressmaker ,1
home duties ,1
hominy dealer ,1
homooy sells ,1
house clean cook ,1
house maid ,1
house of assignation ,1
huckster part of the year ,1
huckster washer ,1
husband slave ,1
idle ,1
intelligence office ,1
ironing cook ,1
ironing one cooking,1
ironing regularly ,1
irregular ,1
janitor ,1
keeps assignation house ,1
keeps bake shop ,1
keeps small shop ,1
keeps victualing cellar ,1
knitter ,1
laborer,1
ladies apparel ,1
lame ,1
lives in oyster cellar ,1
lives out ,1
lives out when well home all winter ill ,1
make mats ,1
makes carpet rag balls ,1
makes carpet rags ,1
makes cocoanut candy ,1
mat maker ,1
matron moral refm retreat ,1
midwife cant tell gets so little of what she earns ,1
midwife sewing ,1
millinery store ,1
muffin baker ,1
nominal sempstresses ,1
not well ,1
nothing to do ,1
nurse cook ,1
old female ,1
old woman house work ,1
one at serivce ,1
ornamental basket maker ,1
ornamental hair dresser ,1
out at washing ,1
out by days work ,1
out to washing ,1
own work ,1
oyster dealer ,1
oyster house minimally ,1
palin sewer ,1
pepper pot dealer ,1
picker ,1
picks & cuts rags,1
picks coal ,1
piebaker ,1
place wanted at service ,1
playing ,1
policy office ,1
quilter cant tell ,1
rag & bone picker ,1
rag cut ,1
rag gather ,1
rags etc ,1
raise hogs ,1
rug maker ,1
same ,1
scourer ,1
sells carpet rags ,1
sells in market ,1
sells sugar cakes ,1
sells sugar candies ,1
sempstress and nurse ,1
sempstress dont know ,1
sempstress irregular ,1
sempstress uncertain ,1
sempstress very dull ,1
sempstress when can get it ,1
service generally ,1
service when able ,1
service when can get it ,1
sewing is weakly ,1
sewing not regularly ,1
sewing rags ,1
sewing wanted ,1
sewing washing etc ,1
sews cart rags,1
shand clothes ,1
shirt & dressmaker,1
shirt sur ,1
small shop ,1
snuff milling ,1
sometimes ,1
sorting rags ,1
stand in market ,1
tailoress when able ,1
tailoresses shirt ,1
takes care of mother ,1
takes children to board ,1
teacher & dressmaker,1
teaches the guitar ,1
this woman plays the fiddle etc ,1
traveling preacher ,1
unemployed sick ,1
upholster ,1
upholsteress ,1
various so little ,1
very little afflicted ,1
w ,1
w washer when able ,1
waiter ,1
wants sewing ,1
wash & c ,1
wash cooking & c ,1
wash when can get it ,1
washer average ,1
washer cant get much to do ,1
washer cant make much gets cheated so ,1
washer dont keep count ,1
washer little ,1
washer not able to do much ,1
washer sempstress ,1
washer under ,1
washer very irregular ,1
washes ,1
washing,1
washing and boarders ,1
washing and days work ,1
washing at hotel ,1
washing one out ,1
washing or sewing when can get it ,1
washing plain sewing ,1
washing sewing ,1
washing whitewashing ,1
white washer cant tell ,1
whitewashing day work ,1
whitewashing etc ,1
wife sick ,1
woman lame ,1
women do own work ,1
wood sawyer ,1
work for day ,1
work in house ,1
work per day ,1
work sometimes ,1
work when able ,1
works at confectionary ,1
works at hotel ,1
works at hotel ,1